description,title,url,price,spider,image_urls,server,project,images,location,address,date
"kings away canada
way shadwell well life refurbished",Mary Conversion Borders Eastham With Gas,http://web:9312/properties/property_000029.html,[653.94],manual,http://web:9312/images/i10.jpg,dev,properties,,,"Bethnal Green, London","[datetime.datetime(2016, 3, 2, 5, 14, 20, 191918)]"
hall via you extra,Rear Are Croydon Mews Georgian Amazing,http://web:9312/properties/property_000028.html,[1298.0],manual,http://web:9312/images/i07.jpg,dev,properties,,,"Battersea, London","[datetime.datetime(2016, 3, 2, 5, 14, 20, 218720)]"
"i basis inclusive underground use
doors rail lift make
hello regents guy bar been well spanish pw
regents ham working",Impressive Asap Jacuzzi Grove Waterloo Kennington,http://web:9312/properties/property_000027.html,[708.1],manual,http://web:9312/images/i02.jpg,dev,properties,,,"Angel, London","[datetime.datetime(2016, 3, 2, 5, 14, 20, 221120)]"
"own space boasts regents environment speak
block including additional electric year flats
northern if overground rear town admin vat",Rentals V Brilliant Force Broadway Knightsbridge,http://web:9312/properties/property_000026.html,[621.36],manual,http://web:9312/images/i00.jpg,dev,properties,,,"Angel, London","[datetime.datetime(2016, 3, 2, 5, 14, 20, 223475)]"
"tfl site routes delighted luxury dishwasher floor
doors currently terms out sainsbury look property",Spacious Westferry Manor London Receptions Wembley,http://web:9312/properties/property_000025.html,[1167.6],manual,http://web:9312/images/i14.jpg,dev,properties,,,"Seven Sisters, London","[datetime.datetime(2016, 3, 2, 5, 14, 20, 225848)]"
painted estates may lots finchley food euston vibrant,Just Rail Working Units White Dogs,http://web:9312/properties/property_000024.html,[1290.0],manual,http://web:9312/images/i08.jpg,dev,properties,,,"Bayswater, London","[datetime.datetime(2016, 3, 2, 5, 14, 20, 228843)]"
"lines central tenancy your bathrooms hill
length newly drawer be moving bedside shop
friendly place fulham train couples se shower high
through several popular bath move co etc maintained food",Min Moorgate Set Little For Small,http://web:9312/properties/property_000023.html,[1088.0],manual,http://web:9312/images/i11.jpg,dev,properties,,,"Heathrow, London","[datetime.datetime(2016, 3, 2, 5, 14, 20, 231257)]"
"supermarket main your needed girls part will
renovated toilets pubs
shepherds more number",By Min Stratford Uxbridge Ready Mary,http://web:9312/properties/property_000022.html,[1101.0],manual,http://web:9312/images/i14.jpg,dev,properties,,,"Angel, London","[datetime.datetime(2016, 3, 2, 5, 14, 20, 433650)]"
"street description need cctv variety are attractions own
corner once back which site inc links",Concierge Transport Seconds Ha Bayswater Shepherds,http://web:9312/properties/property_000021.html,[811.0],manual,http://web:9312/images/i02.jpg,dev,properties,,,"Elephant And Castle, London","[datetime.datetime(2016, 3, 2, 5, 14, 20, 439262)]"
table this hot bridge currently stunning conveniently piccadilly friendly,Flatshare Hounslow Forest Shadwell Direct Low,http://web:9312/properties/property_000020.html,[1181.0],manual,http://web:9312/images/i03.jpg,dev,properties,,,"West Hampstead, London","[datetime.datetime(2016, 3, 2, 5, 14, 20, 446026)]"
